trial,spike_index,spike_time_ms,duration_ms,condition
1,1,45,1000,high_noise
1,2,105,1000,high_noise
1,3,250,1000,high_noise
1,4,310,1000,high_noise
1,5,470,1000,high_noise
1,6,530,1000,high_noise
1,7,710,1000,high_noise
1,8,760,1000,high_noise
1,9,900,1000,high_noise
1,10,960,1000,high_noise
2,1,80,1000,high_noise
2,2,150,1000,high_noise
2,3,300,1000,high_noise
2,4,365,1000,high_noise
2,5,515,1000,high_noise
2,6,590,1000,high_noise
2,7,735,1000,high_noise
2,8,820,1000,high_noise
2,9,890,1000,high_noise
2,10,985,1000,high_noise
3,1,30,1000,high_noise
3,2,120,1000,high_noise
3,3,180,1000,high_noise
3,4,350,1000,high_noise
3,5,420,1000,high_noise
3,6,610,1000,high_noise
3,7,675,1000,high_noise
3,8,760,1000,high_noise
3,9,920,1000,high_noise
3,10,980,1000,high_noise
4,1,95,1000,high_noise
4,2,170,1000,high_noise
4,3,230,1000,high_noise
4,4,405,1000,high_noise
4,5,475,1000,high_noise
4,6,545,1000,high_noise
4,7,725,1000,high_noise
4,8,795,1000,high_noise
4,9,870,1000,high_noise
4,10,995,1000,high_noise
5,1,55,1000,high_noise
5,2,210,1000,high_noise
5,3,265,1000,high_noise
5,4,340,1000,high_noise
5,5,510,1000,high_noise
5,6,580,1000,high_noise
5,7,655,1000,high_noise
5,8,840,1000,high_noise
5,9,910,1000,high_noise
5,10,970,1000,high_noise
