trial,spike_index,spike_time_ms,duration_ms,condition
1,1,80,1000,low_noise
1,2,180,1000,low_noise
1,3,280,1000,low_noise
1,4,380,1000,low_noise
1,5,480,1000,low_noise
1,6,580,1000,low_noise
1,7,680,1000,low_noise
1,8,780,1000,low_noise
1,9,880,1000,low_noise
1,10,980,1000,low_noise
2,1,82,1000,low_noise
2,2,181,1000,low_noise
2,3,281,1000,low_noise
2,4,379,1000,low_noise
2,5,480,1000,low_noise
2,6,579,1000,low_noise
2,7,681,1000,low_noise
2,8,779,1000,low_noise
2,9,881,1000,low_noise
2,10,978,1000,low_noise
3,1,78,1000,low_noise
3,2,179,1000,low_noise
3,3,278,1000,low_noise
3,4,381,1000,low_noise
3,5,479,1000,low_noise
3,6,581,1000,low_noise
3,7,682,1000,low_noise
3,8,781,1000,low_noise
3,9,879,1000,low_noise
3,10,982,1000,low_noise
4,1,81,1000,low_noise
4,2,182,1000,low_noise
4,3,279,1000,low_noise
4,4,382,1000,low_noise
4,5,481,1000,low_noise
4,6,580,1000,low_noise
4,7,683,1000,low_noise
4,8,782,1000,low_noise
4,9,880,1000,low_noise
4,10,981,1000,low_noise
5,1,79,1000,low_noise
5,2,178,1000,low_noise
5,3,280,1000,low_noise
5,4,379,1000,low_noise
5,5,482,1000,low_noise
5,6,581,1000,low_noise
5,7,679,1000,low_noise
5,8,780,1000,low_noise
5,9,883,1000,low_noise
5,10,979,1000,low_noise
