trial,spike_index,spike_time_ms,duration_ms,condition
1,1,70,1000,medium_noise
1,2,160,1000,medium_noise
1,3,275,1000,medium_noise
1,4,355,1000,medium_noise
1,5,480,1000,medium_noise
1,6,590,1000,medium_noise
1,7,675,1000,medium_noise
1,8,800,1000,medium_noise
1,9,885,1000,medium_noise
1,10,970,1000,medium_noise
2,1,85,1000,medium_noise
2,2,195,1000,medium_noise
2,3,270,1000,medium_noise
2,4,390,1000,medium_noise
2,5,500,1000,medium_noise
2,6,610,1000,medium_noise
2,7,735,1000,medium_noise
2,8,820,1000,medium_noise
2,9,930,1000,medium_noise
2,10,990,1000,medium_noise
3,1,60,1000,medium_noise
3,2,145,1000,medium_noise
3,3,260,1000,medium_noise
3,4,370,1000,medium_noise
3,5,455,1000,medium_noise
3,6,575,1000,medium_noise
3,7,700,1000,medium_noise
3,8,790,1000,medium_noise
3,9,900,1000,medium_noise
3,10,975,1000,medium_noise
4,1,95,1000,medium_noise
4,2,180,1000,medium_noise
4,3,305,1000,medium_noise
4,4,425,1000,medium_noise
4,5,510,1000,medium_noise
4,6,625,1000,medium_noise
4,7,715,1000,medium_noise
4,8,840,1000,medium_noise
4,9,920,1000,medium_noise
4,10,990,1000,medium_noise
5,1,75,1000,medium_noise
5,2,205,1000,medium_noise
5,3,290,1000,medium_noise
5,4,400,1000,medium_noise
5,5,520,1000,medium_noise
5,6,635,1000,medium_noise
5,7,720,1000,medium_noise
5,8,850,1000,medium_noise
5,9,940,1000,medium_noise
5,10,995,1000,medium_noise
