trial,condition,spike_time_ms
1,low_noise,108
1,low_noise,211
1,low_noise,315
1,low_noise,419
1,low_noise,522
1,medium_noise,96
1,medium_noise,214
1,medium_noise,301
1,medium_noise,432
1,medium_noise,508
1,high_noise,72
1,high_noise,236
1,high_noise,287
1,high_noise,469
1,high_noise,501
2,low_noise,103
2,low_noise,207
2,low_noise,312
2,low_noise,416
2,low_noise,520
2,medium_noise,115
2,medium_noise,196
2,medium_noise,327
2,medium_noise,407
2,medium_noise,541
2,high_noise,88
2,high_noise,173
2,high_noise,360
2,high_noise,401
2,high_noise,588
